dateTime,sampleTimeSeconds,LPOPmMid,LPOPm10,ratioPmMid,ratioPm10,concentrationPmMid,concentrationPm2_5,concentrationPm10
2021-07-12 02:04:31.871339,30,1534752,4284592,5.12,14.28,2708.68,7147.94,9856.62
2021-07-12 02:05:01.846700,30,743688,4346256,2.48,14.49,1283.08,8798.31,10081.39
2021-07-12 02:05:31.822045,30,1455600,5708232,4.85,19.03,2559.85,13536.91,16096.75
2021-07-12 02:06:01.797381,30,4094120,10411096,13.65,34.70,9185.20,50259.44,59444.64
2021-07-12 02:06:31.757286,30,1332252,5194292,4.44,17.31,2331.25,11243.25,13574.50
2021-07-12 02:07:01.732461,30,438884,3232092,1.46,10.77,756.66,5780.74,6537.40
2021-07-12 02:07:31.707903,30,6307864,12659048,21.03,42.20,19479.56,78345.17,97824.73
2021-07-12 02:08:01.668004,30,5970804,12195308,19.90,40.65,17516.93,71236.28,88753.21
2021-07-12 02:08:31.643334,30,2729096,8332280,9.10,27.77,5244.69,29835.07,35079.76
2021-07-12 02:09:01.618347,30,415640,3202916,1.39,10.68,716.69,5741.15,6457.84
2021-07-12 02:09:31.578244,30,1178844,4243080,3.93,14.14,2052.02,7655.35,9707.37
2021-07-12 02:10:01.538300,30,379780,3058220,1.27,10.19,655.05,5416.89,6071.94
2021-07-12 02:10:31.513356,30,2512568,7832192,8.38,26.11,4735.41,25824.92,30560.33
2021-07-12 02:11:01.488364,30,154260,3408972,0.51,11.36,267.15,6765.67,7032.82
2021-07-12 02:11:31.448060,30,152948,3122188,0.51,10.41,264.89,5975.90,6240.78
2021-07-12 02:12:01.423265,30,3307636,8685548,11.03,28.95,6746.21,31818.58,38564.79
2021-07-12 02:12:31.383272,30,1958564,6023544,6.53,20.08,3539.59,14273.88,17813.47
2021-07-12 02:13:01.358454,30,144256,3401028,0.48,11.34,249.91,6760.17,7010.08
2021-07-12 02:13:31.317941,30,188764,2641292,0.63,8.80,326.58,4708.44,5035.02
2021-07-12 02:14:01.277770,30,742864,3554252,2.48,11.85,1281.65,6175.54,7457.19
2021-07-12 02:14:31.253335,30,1903984,7382652,6.35,24.61,3429.00,23460.23,26889.23
2021-07-12 02:15:01.228314,30,491116,3177080,1.64,10.59,846.53,5541.36,6387.89
2021-07-12 02:15:31.188035,30,223648,2358016,0.75,7.86,386.62,4000.62,4387.24
2021-07-12 02:16:01.147864,30,345724,3395092,1.15,11.32,596.51,6396.60,6993.11
2021-07-12 02:16:31.123284,30,2458504,6435628,8.20,21.45,4612.22,15654.05,20266.27
2021-07-12 02:17:01.082951,30,244128,3778640,0.81,12.60,421.85,7723.60,8145.45
2021-07-12 02:17:31.058229,30,419940,3513920,1.40,11.71,724.09,6613.67,7337.75
2021-07-12 02:18:01.017906,30,477460,3013700,1.59,10.05,823.03,5133.00,5956.03
2021-07-12 02:18:30.993379,30,2982328,7450596,9.94,24.84,5875.13,21546.11,27421.23
2021-07-12 02:19:00.953208,30,558592,3666616,1.86,12.22,962.77,6833.96,7796.73
2021-07-12 02:19:30.928116,30,149320,2706412,0.50,9.02,258.64,4931.46,5190.10
2021-07-12 02:20:00.888029,30,539016,3645356,1.80,12.15,929.03,6802.69,7731.71
2021-07-12 02:20:30.847894,30,876600,4019496,2.92,13.40,1515.06,7416.25,8931.31
2021-07-12 02:21:00.823187,30,3376332,8463008,11.25,28.21,6939.68,29400.75,36340.43
